Como se presenta el personaje que abre puerta a Jonathan Harker?,Usando un cortés gesto y hablando en excelente inglés con entonación extraña.,Presentación
Que objeto tiene el anciano al abrirle la puerta a Jonathan?,Una antigua lámpara de plata sin globo ni protección.,Objetos
Donde lleva a Jonathan Harker el Conde Drácula luego de abrirle puerta?,A un cuarto muy bien alumbrado con mesa servida para la cena.,Lugar en casa de Conde Drácula
Cual es la descripcion de habitacion donde Jonathan espera cenar en casa del Conde Drácula?,Gran dormitorio muy bien alumbrado y calentado por otro hogar recién encendido.,Descripción habitación espera cena
Que propósito expresa el conde Drácula cuando abre puerta para Jonathan?,Hacer que se siente como huésped y le proporciona comida e alojamiento.,Propósitos del Conde Drácula
Que comida le sirve el conde Drácula a Jonathan Harker?,Excelente pollo asado con queso y ensalada.,Alimentos en casa del Conde Drácula
Bebida que bebe Jonathan tras cenar con el Conde Drácula?,Dos vasos de Tokay añejo.,Bebidas en casa del Conde Drácula
Cual es la primera descripcion detallada de apariencia que Jonathan Harker tiene del Conde Drácula?,"Características fuertes y aguileonas con frente alta, nariz fina y cejas gruesas.",Aparencia del Conde Drácula
Cuando transcurre la conversacion entre Jonathan y el Conde sobre los lobos?,Amanecida de una nueva aurora.,Tiempo
En que momento del relato Jonathan descubre desorden en servicios de la casa del Conde Drácula?,Cuando busca campanilla pero no la encuentra.,Servicio de la Casa
Donde Jonathan encuentra una colección de libros en idioma Ingles al explorar el castillo?,En una biblioteca encontrada luego de salir de un cuarto principal.,Biblioteca en el Castillo del Conde Drácula
Que razones da el conde para que Jonathan no entre en algunas habitaciones del castillo?,Explicando que allí hay cosas y conocimiento extraño e incomprendible.,Restricciones sobre las habitaciones por parte del Conde Drácula
Que relato hace referencia a una historia sobre invasores y señales de fuego?,La leyenda del castillo mencionado por el conde Drácula sobre defensores nativos contra invasores.,Historia dentro del relato
Como describe Bram Stoker la curiosidad de los campesinos sobre las llamas que aparecen en una noche?,"Cobarde e imbécil, no osaran espiar por sus puertas ni saberian volver a encontrarlos durante el dia tras verlas una sola vez.",Descripción sobre curiosidad del pueblo nativo
Que acción realiza el Conde Drácula al finalizar su conversacion con Jonathan Harker sobre Londres?,Se dirige al estudio y lee una Guía Inglesa de Bradshaw mientras Harker le explica sobre sus planes en Purfleet.,Conducta del personaje Count Dracula
En que lugar se encuentra la propiedad descripta por Jonathan Harker para Count Drácula?,Purfleet.,Ubicación de la propiedad
Que nombre antiguo creen los habitantes locales para el lugar llamado Carfax por venta?,Quatre Face debido a su cuatro caras correspondientes con los puntos cardinales.,Nombre antiguo de Carfax segun la leyenda
Que momento del día marca el final de la segunda noche entre Jonathan Harker y Conde Drácula antes de viaje?,Aparece un gallo cantando en claroscuro de la mañana.,Fin de segundo dia entre personajes antes de su viaje
Describa situacion de Jonathan Harker cuando se encuentra solo en el castillo de Drácula.,Dormido pocas horas y comenzando a afeitarse sintió una mano sobre su hombro. El conde estaba cerca pero sin imagen reflejada en espejo. Luego vio sangrar su cortadura y observó la furia del Conde al intentar atacarle; posteriormente lanzó el espejo por una ventana interna destruyéndolo. La ausencia del Conde para desayuno dejaba una sensación extraña a Jonathan.,Situacion
Descripcion de Castle Dracula por Jonathan Harker.,"`Castillo se encuentra al mismo borde de un terrible precipicio. Una piedra cayendo desde la ventana puede descender mil pies sin tocar nada! Tan lejos como el ojo alcanza a divisar, solo se ve un mar de verdes copas de árboles...`",Descripcion
Quien es Conde Dracula según narración de Jonathan Harker?.,"El conde Drácula es un boyar transilvano descendiente de diversas razas guerreras, que incluyen los ugricos originarios de Islandia traídos por Thor y Wodin. Sus antepasados lucharon valerosamente por su señorío desde los límites europeos hasta África e incluso Asia.",Conde Dracula
De quien habla el narrador sobre la leyenda de Drácula como fundador héroe?,Escequelios.,Nación referida
En que guerra se destaca Voivode Drácula según relato de escequelios?,Batió a los turcos en su propia tierra durante la gran vergüenza de Cassova.,Histórico Evento relacionado con Drácula
Quien es otro Drácula mencionado luego que inspiró otros ejércitos?,El de edades posteriores que repetidamente lideró a sus fuerzas en batallas contra los turcos.,Drácula Histórico II
En que ejemplo se basa el conde Drácula para explicarle a Jonathan Harker sobre el uso de procuradores?,Compra de propiedad en Londres por medio del señor Peter Hawkins desde Exeter.,Ejemplo Histórico
Quien le pide a Jonathan Harker escribir cartas?,Conde Drácula.,Petición Histórica dentro de Relato
Cuando Jonathan comprende la intención de Conde Drácula al leer sus cartas?,Después del momento en que el conde escribió y guardó las cartas junto a las suyas.,Entendimiento
Que acción toma Jonathan cuando el conde sale de la habitación?,"Se inclina, mirando secretamente los sobres sobre la mesa.",Siguiendo el Conde
En qué momento Jonathan observa las habilidades de Drácula escalando verticalmente?,Al mirar la ventana del graderío de piedras desde su habitación y viendo que el conde salía lentamente del lado del castillo.,Habilidades de Drácula
"Ubicación de la puerta encontrada por Jonathan después del esfuerzo?,",En el ala derecha del castillo un piso más abajo que los cuartos conocidos.,Descubrimiento
En que lugar Jonathan Harker encuentra una atmósfera más cómoda en el castillo de Drácula?,Entre las habitaciones ocupadas por las damas.,Lugares confortables
Descubre cómo se iluminaba la habitación donde Jonathan se encuentran al comenzar el día 16 de mayo,La luna reflejando su amarilla luz en las hondonadas diamantinas permitía incluso distinguir los colores y disfrazaba un poco el polvo.,Iluminación natural
Que material estaba utilizado para la pequeña mesa donde Jonathan se sentó a escribir su diario?,Roble.,Material de la mesa
Qué tipo de sensación experimenta Jonathan al contemplar el paisaje desde el castillo antes de dormir?,Refrescante libertad.,Emoción ante vista natural
Descubre la cantidad de mujeres jóvenes que visitan a Jonathan mientras duerme en el castillo,Tres damas.,Visitas soñadoras
Como se describen las dos dadas al oscuro en sus rasgos destacados?,Altas narices aguileñas como el conde y grandes ojos negros casi rojos.,Apariencia de mujeres oscuras
Qué tipo de acción realiza Drácula al percatarse de Jonathan siendo abordado por las tres mujeres?,Lo arroja a una distancia a una de ellas y luego los rechaza como si fueran impuras.,Reacción del conde al descubrir la situación
Descripción de cómo se comporta Drácula durante este momento de furia,"Els ojos azules transformados por la furia, dientes blancos apretados por ira y pálidas mejillas encendidas por pasión.",Apariencia cambiante del conde
Qué suceso hace que Jonathan abra sus ojos durante el episodio,Percepción de presencia del Conde.,Apertura de los ojos ante la inminente amenaza
En quien recae el miedo palpable tras las risas lúgubre de mujeres en la novela Drácula?,A oyente desconocido del relato de Jonathan Harker.,Emoción experimentada por lector
¿Quien despertó a Jonathan Harker en su cama después de los extraños eventos?,El Conde Drácula como parte del sueño o experiencia extraña.,Acción sobre protagonista
Quién ejerce control sobre Jonathan Harker al manipular su salida del castillo de Drácula?,El Conde Drácula.,Dominio y Acción sobre otro personaje
Quién interviene para destruir las cartas escritas por Jonathan Harker a su familia?,El Conde Drácula.,Acción sobre escritos del protagonista
Que objetos desaparecen de habitacion de Jonathan en 'Drácula'?,"Sus papeles, sobres de portafolios y guardaria con trajes(maleta ligera), abrigo y manta.",Desapariciones objetos
Cual es el modo de transporte que llegan a las afueras del Castillo en la historia?,Dos grandes diligencias tiradas por ocho briosos corceles.,Llegada visitantes
Que sospecha tiene Jonathan sobre gitanos en el Castillo Drácula?,Están realizando alguna villanía y están trabajando en algún proceso.,Sospechas de Jonathan acerca de Gitano en Castillo
Que objeto del viaje de Jonathan se utiliza por Conde para ocultar sus actividades maliciosas?,Su propio traje y bolsa utilizados anteriormente en viaje.,Conde usa ropa de Jonathan para ocultarse
Quien visita Jonathan durante su cautiverio en el Castillo Drácula?,Mujer llorando buscando a su hijo raptado.,Visita dolorida de mujer al prisionero Jonathan
Desde dónde Jonathan Harker sale para ingresar al cuarto del Conde Drácula?,Ventana del lado sur.,Punto de Entrada
¿Qué descubre en el cuarto vacío del conde Drácula?,"Polvo cubriendo muebles raros nunca usados, y una gran cantidad de moneda antigua.",Descubrimiento en el Cuarto Vacío
Dónde encuentra a Conde Drácula en el descenso de escalera?,En una vieja capilla usada como cementerio.,Lugar del Descubrimiento
"Qué le dice Jonathan Harker al Conde Drácula sobre su partida temprana?,",Quiere caminar y salir de allí de inmediato.,Petición De Salida Temprana
Quienes son las tres mujeres que visitan Jonathan Harker luego de cerrarle la puerta en 'Drácula'?,Terribles vampiresas llamadas Brides de Drácula.,Personajes
En que momento el autor nos habla por primera vez sobre posibles movimientos futuros del conde Drácula?,"Cuando Jonathan Harker se encuentra en su cuarto previo a acostarse (Libro I), escucha una voz del otro lado de su puerta.",Evento
Como describe el autor Jonathan Harker la apariencia del Conde Drácula luego de alimentarse en el capítulo 30?,Se muestra como una sanguijuela horrorosa saciada de sangre; su rostro se ha vuelto joven con cabello gris oscuro y piel color rubí.,Descripción del Conde Drácula
Que evento se da poco antes del final del capítulo 30 en 'Drácula'?,Entra el grupo de gitanos y eslovacos al castillo de Drácula llevando sus pesadas ruedas y látigos mientras Jonathan Harker queda atrapado.,Acontecimiento Final Capitulo 30
En quien se dirige la carta escrita por Lucy el 9 de mayo?,La carta fue escrita por la señorita Mina Murray a la señorita Lucy Westenra.,Remitente y Destinatario
En cuál carta Lucy habla por primera vez sobre su amor?,La carta escrita por Lucy el 24 de mayo contiene su primer confesión de amor a Mina.,Carta con Confesión de Amor
Quién es la persona que confesa tres propuestas de matrimonio en una sola carta a Mina Murray?,Lucy Westenra expresa estas tres proposiciones de matrimonio en su carta escrita el 24 de mayo.,Personaje que Confiesa Propuestas de Matrimonio
Quien visita a Lucy Westenra luego del almuerzo en esta parte de la historia?,Quincey Morris llega.,Personaje entrante
Como se describe a Quincey Morris por Lucy?,"Un americano de Tejas que parece muy joven y fresco, con una buena educación y maneras finas.",Descripción de Morris por Lucy
Quién revela sus sentimientos a Lucy Westenra tras conocerla y hablar con ella?,Quincey Morris.,Personaje confiesa sus sentimientos hacia Lucy
Quien es R.M Renfield y cuantos años tiene en el comienzo del relato?,R. M. Renfield es un característico paciente psiquiátrico que sufre de instinto sanguíneo fuerte y una salud física destacada aunque su temperamento lo hace excitado e inestable con períodos de decaimiento resultando en una idea fija difícil de descifrar. Tiene 59 años al comienzo del libro.,Personaje
SiguientePalabraCloud_Dracula_Characters,Lucy,Personaje  # Para continuar la lista de personajes relevantes en el texto
Donde se ubica el cementerio alrededor de la iglesia parroquial en Whitby como descrito por Mina Murray?,"El cementerio se encuentra cerca del pueblo de Whitby y está situado alrededor de la iglesia parroquial, lleno de tumbas de piedra.",Ubicacion
Qué atractiva descripción da Mina Murray del lugar que más le encanta en Whitby?,Esta espléndida zona se extiende justo sobre el pueblo y permite una vista completa del puerto y toda la bahía donde el cabo Kettleness entra al mar.,DescripcionDelLugarAmadoDeMina
Quien le da instrucciones a Mina Murray acerca de la conversacion con el anciano?,Lucy.,PersonajeIniciaInteraccionConAnciano # Encuentra el rol en la acción específica
SiguientePalabraCloud_Dracula_Characters,The Ancient One,Personaje # Para continuar encontrando otros personajes relevantes
En que parte del relato Jonathan refuta las creencias sobre fantasmas y mitos?,El argumento surgió cuando Jonathan conversa con señor Swales sobre las lápidas de tumbas y las mentiras escritas en ellas.,Refutación de Creencias
Donde Jonathan descubre más sobre el origen de las mentiras y creencias en Drácula?,Cuando conversa con señor Swales en la iglesia y este le hace una lectura sobre varias lápidas que contienen historia de marineros asesinados pero sin evidencia física en el lugar.,Descubrimiento en la Iglesia
En qué instancia se manifiesta más claramente la naturaleza maligna de Drácula en el texto?,Cuando Drácula se traslada físicamente a la habitación donde dormía Jonathan y lo amenaza.,Aparición Del Mal
Quien es descrito como amante de animales pero con extrañas transformaciones en el texto?,"Un personaje no identificado explicitamente en el pasaje dado que se refiere al sujeto desde 'él' o 'su', siendo referido por otros contextos como el narrador cercano a Victor Frankenstein o el niño lobo.",Personaje indeterminado
Cuál es el deseo cada vez creciente de Renfield en este pasaje?,Desear obtener un gatito para domesticarlo y alimentarlo como ha hecho con moscas y arañas anteriormente.,Objeto deseado
Qué comportamiento observa el narrador sobre el personaje Renfield?,"Renfield presenta una locura progresiva, con patrones de comida extraña como insectos o animales pequeños que parece domesticar y alimentar en un modo cruelmente anormal.",Comportamiento observado en Renfield
Quién razona con gran profundidad dentro de su ámbito pero muestra locura?,Renfield el personaje obsesionado por alimentarse de pequeños animales en el relato.,Personaje razonando dentro de locura específica
En qué fecha se menciona el temor por Jonathan sin noticias desde Drácula?,27 de julio.,Fecha sin Respuesta
Quién planea casamiento en este momento del relato?,Lucy.,Paciente Sin Noticias
Donde está describiendo el tiempo y naturaleza desde su punto de vista?,Whitby.,Descripcion de Entorno
Con quien tiene una interacción importante en este fragmento de relato?,Viejo señor Swales.,Personaje Interactuando
"Con quien comparte sus preocupaciones sobre la salud del señor Holmwood?,",Mina.,Compañera En Cuestión
Qué evento dramático sucede en Whitby?,Una de las tormentas más fuertes y repentinas se produce con resultados extraños.,Catástrofe Natural
Que evento atmosferico predijo un anciano pescador en Whitby observando desde East Cliff?,Una repentina tormenta.,Prediccion
Descripcion de la puesta del sol antes de la tormenta relatada?,"Bella, grandiosa con masas de nubes coloreadas en diferentes tonos.",Marvelosa Puesta Del Sol
Que escucharon en Whitby cuando llegó la tormenta?,"Retumbos extraños, tenues y huecos.",Sonidos Ante Tormenta
Descripcion de las olas durante el comienzo de la tormenta,Olas creciendo con furia superando a su compañera hasta convertirse en rugiente.,Inicio Ola Tormenta
Que barco llegó con dificultad a Whitby puerto durante la tormenta?,Una goleta forastera.,Barco Rescatado Tormenta
Quien dirigía esa goleta y que estado estaban?,Un hombre muerto atado al timon con cabeza caída.,Conductor Goleta
Descripcion del encuentro inicial entre Drácula y Jonathan Harker al salir embarcado?,"Una rápida nave choca con un banco de arena cerca del muelle Tate Hill de Whitby y resulta dañada. Un perro immenso se aparece repentinamente e inexplicablemente desde el acantilado, corriendo hacia la proa hasta la playa.",Inicio encuentro
Pregunta,Respuesta,Etiqueta
Acontecimiento sorpresivo ocurriendo en el mismo momento del accidente naval?,Aparece un gran perro que corre desde los acantilados hacia la proa y se pierde en la oscuridad.,Perro extraño aparece
Cual era el estado físico del marinero encontrado en la nave al principio de la historia?,"El marinero estaba muerto durante por lo menos dos días debido a cortes producidos por las cuerdas que ataban sus manos a la rueda del timón, con el efecto de los golpes del viento.",Estado físico muerta
Pregunta,Respuesta,Etiqueta
Desde donde y qué embarcación llegó el perro misterioso al principio del capítulo?,"El perro apareció desde los acantilados cerca de un puente llamado East Cliff en Whitby, saltando sobre la proa de una nave que naufragaba.",Perro saltando desde acantilados
Descripción del estado en que se encuentra el perro muerto hallado cerca de la casa de un comerciante de carbón?,"El perro era grande y mestizo entre mastines, tenía una garganta desgarrada y su vientre abierto como por una garra salvaje.",Perro muerto encontrado
Pregunta,Respuesta,Etiqueta
Objeto encontrado en un rollo de papel dentro de una botella del marinero muerto en la nave Demetrio?,Es un pequeño fragmento que parece ser el comienzo de un relato o cuenta.,Papel encontrado con fragmento de historia
Quien relata esta observación sobre un misterioso hombre a bordo del barco de Jonathan Harker?,Olgaren.,Testigo de presencia misteriosa
"En que fecha finaliza el registro de Jonathan Harker sobre su experiencia marítima?"",2 de agosto"," medianoche.""",Final del relato de Harker
Quien relata el último momento de encuentro con el primer oficial loco en el barco?,Jonathan Harker.,Testigo del hallazgo del primer oficial
Quien es la persona encontrada muerta en barco al comienzo de capítulo XIV?,Capitán del barco.,Personaje
En que lugar se dará entierro del capitán en el final de dicho capítulo?,Iglesia de la abadía en su cementerio.,Lugar Entierro
Que evento marca culminación de historia dentro del capitulo XIV de Drácula?,Funeral del Capitán.,Evento Final
En donde se llevó a cabo el funeral del capitán en el día 10 de agosto?,Del cementerio de la iglesia junto al acantilado.,Lugar Entierro
Quien es la persona que se encuentra aterrorizada por su perro en el final del día 10 de agosto?,Perro de Capitán,Personaje Animado
Que experiencia asombrosa ocurre con Lucy en la novela?,"Lucy comienza a sonambular y desaparece de su habitacion sin dejarsignos de dónde está ni qué lleva puesto, lo que genera una gran preocupación en el grupo.",Experiencia
Que evento despierta abruptamente Mina Harker en la noche?,"Despertó por un terrible sentimiento de miedo y vacío, con su habitacion oscura.",Acontecimiento
En cual lugar ocurría el encuentro misterioso a media noche?,En el borde del mar cerca de West Cliff y East Cliff.,Lugar
"Después del encuentro con Lucy en el cementerio ¿Cómo avanzan los pasos de Mina?,","Se llena de cuidado por la condición de Lucy y se esfuerza por llevarla a casa sin dar señales, hasta que logran llegar sin ser vistos.",Acción
Donde está ubicado el primer encuentro sobrenatural con Lucy en el libro?,En la habitación donde le cuida Jonathan.,Lugar encuentro
Qué dolor físico sufre Lucy después del acontecimiento de la noche primera?,Pierde piel en garganta dejándole dos pequeños puntos sangrantes.,Heridas físicas
Cómo reacciona Lucy a los daños causados por Jonathan durante el mal sueño?,Ríe y tranquiliza a su cuidador al no sentir dolor.,Reacción emocional
En qué ambiente pasa el día del mismo día luego del encuentro sobrenatural con Lucy?,Bosques de Mulgrave.,Lugar diario
En qué fecha el libro indica el primer encuentro de Jonathan con un comportamiento extraño de Lucy?,12 de agosto.,Fecha encuentro Lucy extraño
"Durante la noche del mismo día donde se da este incidente en el libro, que acción repite Lucy hacia la puerta cerrada por error?",Intentó salir repetidas veces.,Acciones Lucy despertada erróneamente
Cómo describe la situación exterior al amanecer del 15 de agosto?,Lucy está lánguida y cansada.,Estado Lucy interior
En qué punto del relato el padre de Arthur desea que se acelere el matrimonio con Lucy?,15 de agosto en el desayuno.,Deseo de acelerar matrimonio por parte del padre
Quien envia carta a Carter Paterson y Cia. el 17 de agosto?,"Samuel F. Billington e Hijo, procuradores en Whitby.",Remitente
Quién le envia carta sobre entrega en Carfax el 17 de agosto?,"Samuel F. Billington e Hijo, procuradores en Whitby.",Remitente
Quién entrega carta con noticias de Jonathan Harker el 19 de agosto?,Señor Hawkins.,Remitente
Quien es Renfield en contexto de 'Drácula'?,Un paciente que sufre extrañas alteraciones mentales bajo influencia del conde Drácula.,Personaje
Donde se encuentra el Doctor Seward al relatar estos hechos?,En sanatorio donde cuida a Renfield.,Lugar actual de narrador
Cuándo se produce este cambio en comportamiento de Renfield según registro del Doctor Seward?,19 de agosto.,Fecha evento en el libro
Que observación hace Renfield sobre Dios en 'Drácula'?,Cree que el verdadero Dios se preocupa hasta por los gorriones mientras el creado por la vanidad humana no ve diferencias entre aves.,Comentario religioso de Renfield
Donde fue llevado el Doctor luego de conocer la fuga de Renfield?,Corrio inmediatamente buscando a Renfield.,Acción del Doctor Seward tras saber la noticia
Donde encuentra el Doctor Seward a Renfield en su persecución?,Detrás de una antigua puerta de roble de la capilla.,Lugar encontrado al seguir a Renfield
Que declaración hace Renfield mientras está con el Doctor en 'Drácula'?,"Cree estar bajo las órdenes de un amo, pidiéndole obediencia y esperando una recompensa.",Renfield hablando durante la persecución
Que acción lleva a cabo el Doctor Seward al finalizar su encuentro con Renfield en el libro?,"Lo encierra de manera segura junto con cadenas, en una celda.",Acción tomada por el doctor tras detenerlo
Cuanto refiere Minas descripcion sobre Jonathan en carta?,"Mina encuentra a Jonathan muy delgado, pálido y débil. Su tranquila dignidad se ha desvanecido dejando solo una sombra de lo que era.",Estado Jonathan
Que le pide Jonathan a su libro antes de dormir?,Permiso para sacar algo de su bolso.,Petición antes de descansar
 remamos," jugamos al tenis y pescamos juntos""; indica una variedad de actividades entre ambos.",Actividades Arthur-Lucy
Que relato prosigue desde el punto de vista del doctor Seward?,Continua el desarrollo del caso de Renfield y sus fluctuaciones psicológicas.,Relato continuación
Cual es la fecha y observación registrada en el diario de Doctor Seward sobre el paciente Renfield?,El 20 de agosto señala una mejoría en el comportamiento de Renfield tras una semana violenta.,Fecha y estado mental
Quien registra este relato adicional desde un punto de vista?,El doctor Seward.,Narrador cambio
En qué circunstancia escapa Renfield en el desarrollo del cuento?,"Esperando la inspección nocturna en su cuarto, salta y huye cuando el asistente entra.",Escape de Renfield
"Quien envia carta a Dr Seward informando sobre una enfermedad familiar?,",Arthur Holmwood.,Correspondencia recibida por el Doctor Seward
En qué lugar y fecha se produce la primera visita oficial del doctor Seward a Lucy Westenra?,"Hillingham 2 de septiembre, para almorzar a las dos.",Visita formal
Que situación lleva a Arthur Holmwood a enviar un mensaje telegráfico urgente?,Su padre enferma gravemente requiriendo su presencia,Motivo del telegrama
Quien recibe confidencias sobre salud de Lucy en esta situacion?,Arthur.,Personaje recibiendo información
Que analiza el doctor sobre sangre de Lucy?,Realiza un análisis cualitativo.,Examen médico realizado
Quién es Van Helsing para Abraham Seward?,Un amigo apreciado e inteligentísimo que está llegando a su ayuda en cuanto al caso de Lucy.,Personaje relevante
Quien es quien le dice a Lucy que está encantadora al hablar de su aparencia y estado emocional?,Van Helsing.,Personaje relevante expresando simpatía
Quién es objeto del amor oculto del profesor en este extracto?,Lucy.,Objezofthemysteriousfeeling
Qué circunstancia lleva al Dr. Seward a estar muy ocupado con su paciente zoófago?,Atacos repentinos de comportamiento peligroso y amenazador.,Pacientetroubles
En qué momento se revela un cambio en el comportamiento del paciente de Dr Seward?,"A las cinco de la tarde, encontrándolo muy alegrado capturando moscas.",Behaviorchange
Quién llega a Londres para visitar al doctor Seward y su paciente zoófago?,van Helsing.,ArrivalvanHelsing
Que reflexiona Jonatan sobre conocimiento y secrecía?,Discretar tratamiento con sujetos locos por parte de personas y mantener conocimiento oculto.,Filosofía
Quien es a quien Trauko se refiere en el texto?,"John o Juan, posiblemente un amigo que está hablando en dicho momento.",Nombre personaje indeterminado
Cómo lo ilustra Jonatan con maíz y gran semilla la idea del saber de Trauko?,El buen marido observa el crecimiento del maíz antes de su madurez para afirmar su valor futuro.,Metáfora
Como expresa Trauko su esperanza en el crecimiento y el conocimiento?,Sembró su maíz esperando que la naturaleza haga lo propio hasta que comience a aparecer el fruto.,Metáfora
Que le recomienda Trauko a John sobre el caso de la señorita?,"Mantener un registro detallado incluso con dudas e hipótesis, puesto que se puede aprender mucho de ellos.",Enseñanza y método investigativo
Que reflexiona Trauko sobre aprendizaje y experiencias frustradas?,Decide destacar el valor del estudio en las fallidas experiencias por lo contrario no se puede aprender.,Valor educativo
Qué observa Jonatan sobre la situación emocional de Mrs Westenra?,Es alarmada pero no tanto como lo esperaba por el caso de Lucy.,Emociones personales
Que reflexiona Van Helsing sobre la naturaleza y su relación con el enfoque de la madre tierra?,El egoísmo organizado tiene raíces más profundas que las que conocemos hasta ahora.,Filosofía
Como describen Lucy y van Helsing su entrada al cuarto donde se encuentra Lucy?,Horrorizada por apariencia cada vez más débil de Lucy en estado extremo.,Descripción visual
Que plantea Van Helsing como medida urgente para salvar a Lucy?,Realizar una transfusión de sangre debido a la escasez por falta de alimentación sanguínea.,Medidas médicas
Qué duda tiene John al ser llamado por Arthur en la carta y su posterior encuentro?,Pensó que estaban retrasando su intervención y tuvo miedo a que le ocultaran algo más.,Duda y temores
Quién interrumpe a Van Helsing cuando entra su discusión sobre la transfusión de sangre para Lucy?,Arthur aparece en el momento crucial y expresa su preocupación por Lucy.,Interrupción en conversación
Que desea Van Helsing a Arthur al enterarse que es novio de Lucy?,Le agradece su llegada a tiempo y le encarga una tarea crucial para salvar a Lucy.,Mensaje a Arthur sobre intervención médica
"Cómo justifica Van Helsing a Arthur por pedirle dar su sangre en lugar del doctor?,","Aunque el Doctor es más viejo y él mismo puede estar debilitado, Arthur está más fuerte físicamente lo que beneficiaría mucho la transfusión.",Explicación a Arthur sobre elección de donante
Como describe Van Helsing el estado de Lucy al llegar Arthur?,"Mal y muy mal, necesita sangre para sobrevivir o morirá.",Estado de Lucy
Quien realiza la sangrienta operación en Lucy?,Profesor Van Helsing.,Medico
Que efecto muestra el tiempo durante aplicacion de narcóticos a Lucy?,Demora en manifestarse su potencia debido a su debilidad.,Tiempo
Quien cuida de Lucy después de la sangrienta operación?,Doctor Seward.,Medico Ayudante
Quién veló toda la noche junto a Lucy durante su recuperación?,Doctor Seward.,Medico Ayudante
Quien habla estas palabras al finalizar entrada sobre Jonathan Harker en 'Drácula'?,Lucy Westenra.,Personaje
Fecha en que Lucy reflexiona su estado mejorando y sintiendo presencia de Arthur?,9 de septiembre.,Fecha
Cual es el pensamiento interno de Lucy sobre Arthur durante el descanso nocturno?,"Querido mío, tus oídos deben zumbar mientras duermes.",Pensamiento
Quién lleva a cabo transfusión de sangre para salvar a Lucy Westenra en este pasaje?,El doctor Seward junto con Van Helsing.,Personajes Accionando
"Quien hace observación sobre Lucy Westenra y se encarga de mantenerla entretenida despues del evento sangriento?,",El doctor Seward.,Personaje Acción
Quien envía flores blancas en forma de medicina a Lucy?,Doctor van Helsing.,Enviador flores
