Pregunta,Respuesta,Etiqueta
"¿Qué día es hoy para la anciana y por qué considera que 'las cosas demoníacas' tendrán poder?","La anciana creía que el 4 de mayo era una fecha especial debido a que todas las 'cosas demoníacas' del mundo tendrían pleno poder en la noche, aunque Jonathan no entendió qué significaba esto.","Supersticiones"
"Qué le ofrece la anciana para proteger a Jonathan?","La anciana le ofrece su rosario y un crucifijo como símbolos de protección contra las cosas demoníacas.","Religiosa"
"¿Qué comida come Jonathan Harker antes de partir?","Jonathan Harker cena 'biftec robado' con rodajas de tocino y cebolla antes de partir.","Cena"
"Qué comida se ofrece en la posada de Klausenburg?","La posada de Klausenburg sirve carne asada de res con pimiento rojo ensartado y una variedad local de vino llamado Mediasch Dorado.","Alimentos"
"¿Qué significan los gestos que hace la multitud y por qué son tan hostiles?","La multitud de Klausenburg le hace el signo de la cruz y dirige dedos hacia Jonathan Harker como un hechizo o encanto para protegerse del mal.","Gestos supersticiosos"
"Qué imagen le presenta el viaje a Klausenburg?","La belleza de los paisajes en el camino entre Klausenburg y el castillo del Conde Drácula hace que Jonathan Harker olvide sus miedos supersticiosos.", "Paisaje/Emociones"
"Qué se puede ver durante el viaje hacia Transilvania?","En el camino entre Budapest y Klausenburg, Jonathan Harker observa un paisaje de colinas, bosques, viñedos y mucha fruta en flor. También nota la prisa del conductor.", "Paisaje"
"¿Qué información puede Jonathan Harker obtener acerca del paisaje que atraviesa?","Jonathan Harker aprende sobre la naturaleza de los Cárpatos: son altas montañas con colinas verdes y bosques. Las zonas boscosas pueden llevar a creerse que están en mal estado debido a las supersticiones relacionadas con vampiros y turcos.", "Paisaje/Geografía"
"Qué impressiones Jonathan Harker recibe al observar las montañas Cárpatos?","Las montañas Cárpatas son un paisaje hermoso con colinas verdes y bosques. La presencia del sol en la cima de las nevadas montañas crea una sensación de belleza rosada que contrasta con las sombras de la tarde.", "Paisaje/Montañas"
"Qué describe Jonathan Harker al pasar por las tierras húmedas del Danubio?","Las tierras húmedas alrededor del Danubio son bellas con sus bosques de sauces y pinos.","Descripción"
"Qué efecto producen los bosques sobre Jonathan Harker?","Las bosques son espantosos para Jonathan Harker y crean pensamientos y fantasías malignas.","Impresión"
"¿Qué sucede cuando la luz gris aparece de manera inesperada?","Se desconoce exactamente que ocurre cuando aparece una mancha gris de luz, pero parece que los pasajeros se vuelven más nerviosos.","Luz gris"
"¿Qué regalos ofrecen los pasajeros?","Los pasajeros ofrecen regalos extraños a Jonathan Harker que se nieva a negar.","Regalos"
"¿Qué sensación obtiene Jonathan Harker al salir de Borgo Pass?","Jonathan Harker siente una opresiva sensación cuando sale de Borgo Pass.","Salida Borgo Pass"
"¿Qué le dice el cochero a Jonathan Harker?","El cochero le sugerencia que venga a Bucovina y regrese al día siguiente.","Sugerencia"
"Qué tipo de caballos se encuentran alrededor del cochero?","Los caballos son negros como el carbón.","Caballos"
"¿Cómo se describe el rostro del cochero?","El cochero es un hombre alto con una larga barba grisácea y un gran sombrero negro, sus labios son muy rojos.","Descripción del Cochero"
"Cómo se describe el conducta del cochero?","El conducta del cochero es un hombre fuerte. Su mano era como una presión de acero y llevaba a caballo de manera excesiva rápida y su látigo y órdenes a los caballos les hacían ir a velocidades elevadas.","Conducta del cochero"
"¿Qué sensación describe el protagonista sobre este viaje nocturno?","El protagonista sentía un escalofrío y una soledad durante el viaje nocturno, pero fue consolado por la cabeza de capa del cochero y unas mantas para sus rodillas.","Sentimientos sobre el viaje"
"¿Qué reacciona el protagonista al saber que había pocos minutos para la medianoche?","El protagonista se encuentra atemorizado por la superstición general de la medianoche y espera ansiosamente hasta que el perro deja de aullar, finalizando el concierto de aullidos.","Reacciones al tiempo"
"¿Qué tipo de animales se entremezclan en los aullidos?","Lobos que se entremezclan con el concierto de aullidos.","Animales"
"¿Qué pasa después de que el protagonista soborna a los caballos?","Después de sobornar a los caballos, el conductor se dirige a un sendero angosto que los árboles cubren casi completamente y hay enormes rocas como barreras laterales. La nieve comienza a caer fina."
"¿Qué marca el fin de la primera noche de Jonathan Harker en Klausenburg?","El final de la primera noche de Jonathan Harker en Klausenburg es marcado por su encuentro con un hombre misterioso y las llagas que recibió de él.","Fin primera noche"
"¿Qué son los aullidos de lobos que se acercan al grupo?","Los aullidos de lobos parecen estar provenientes del castillo Drácula y representan un peligro para el grupo.","Aullidos lobos"
"¿Cuál es el papel del cochero durante el viaje inicial de Jonathan Harker?","El cochero actúa como guía y protector de Jonathan Harker, llevándolo segura hacia Transilvania a pesar de los peligros que surgen en su camino.","Cochero"
"¿Qué efecto óptico observa Jonathan Harker sobre el cochero?","El cochero produce un extraño efecto óptico para Jonathan Harker, desapareciendo y volviendo con la llama azul, que lo confunde.","Efecto óptico"
"¿Qué encuentran Jonathan Harker y el cochero a su alrededor mientras viajan?","Jonathan Harker y el cochero se enfrentan a un grupo de cien lobos durante su viaje.","Lobos"
"¿En qué circunstancias se detiene la marcha del grupo?","La marcha se detiene cuando los lobos rodean al grupo y ponen en presión a Jonathan Harker y el cochero, obligándolos a enfrentarse a ellos.","Presión lobos"
"¿Cuál es la función del hombre en la salvación del grupo?","El hombre desconocido se encarga de alejar a los lobos para que el grupo pueda continuar con su viaje.","Hombre misterioso"
"¿Qué rol desempeña el ruido durante este episodio?","La acción de golpear la calesa y gritar sirve como distractor para el hombre, permitiéndole regresar al grupo y librarse del peligro de los lobos.","Distraer"
"En qué lugar finalmente termina el viaje de Jonathan Harker?","El castillo Drácula es el destino final del viaje de Jonathan Harker.","Finaliza viaje"
"¿Cuál es la naturaleza de este nuevo lugar?","El castillo Drácula resulta ser un lugar peligroso y extraño, con altas murallas y ventanas negras que no revelan ninguna luz.","Castillo"
"¿Cuál es la primera impresión de Jonathan Harker sobre el castillo Drácula?","Jonathan Harker nota que el castillo parece ser más grande de lo que realmente es y que su arquitectura está marcada por clavos y piedras antiguas.","Impresión"
"¿Qué papel desempeña el cochero durante esta parte del viaje?","El cochero asiste a Jonathan Harker en el descenso de la calesa y se ofrece para ayudarle a llevar sus cosas hacia su destino.","Cochero"
"A partir de dónde continúa el viaje de Jonathan Harker y para qué finaliza?","El viaje de Jonathan Harker se continúa hacia Transilvania desde Klausenburg y termina en lo que él creía ser la propiedad del Conde Drácula, Castle Drácula.","Ruta/Destino"
"Después de salir de Klausenburg, a dónde llega Jonathan Harker y que encuentra allí?","Después de salir de Klausenburg, Jonathan Harker llega al castillo del Conde Drácula y se enfrenta al Conde Drácula mismo.","Ruta/Encuentro"
"Qué personaje aparece al frente de la puerta y cómo se presenta?","El Conde Drácula (hombre alto, anciano y afeitado, con una larga barba blanca y vestido completamente de negro) aparece en la puerta para recibirlo, saluda cordialmente al personaje.","Personajes"
"Cómo se presenta el Conde Drácula al llegar al castillo?","El Conde Drácula (vestido completamente de negro) sale de su castillo y le da una bienvenida cordial a Jonathan Harker.","Presentación"
"Qué espacio el Conde Drácula ofrece como dormitorio para Jonathan Harker?","El dormitorio es un cuarto grande y bien alumbrado, calentado con un hogar nuevo que todavía emana humo.","Dormitorio"
"Qué ofrece el Conde Drácula a Jonathan Harker como alojamiento y qué esperanzas despertan las gestas del anfitrión?","El Conde Drácula ofrece una cena bien servida en el dormitorio de su castillo, para que se descansara y arreglase tras el largo viaje. Las cortesas acciones del Conde alivian las dudas de Jonathan Harker.","Alojamiento"
"Quién le proporciona el reemplazo a Jonathan Harker?","Quien le envía un sustituto para hacer su trabajo es un joven y talentoso hombre al que Mina había conocido anteriormente.","Reemplazo/Jonathan Harker"
"¿Qué relación hay entre el Conde y Mina?","El Conde ya había conocido a Mina anteriormente y confía en ella para que la reemplace a Jonathan Harker.","Relación/Conde y Mina"
"Cuál es la primera impressión del Conde sobre Jonathan Harker?","La primera impresión que el Conde tiene de Jonathan Harker es favorable, ya que le ofrece un reemplazo para que pueda viajar.","Primera impresión/Conde"
"Qué tipo de música aprecia el Conde?","El Conde disfruta la música que emiten los lobos mientras dormen.","Tipo Música/Conde"
"¿Qué comida encuentra Jonathan Harker el día siguiente?","Jonathan Harker encuentra una cena fría que está listo para comer al día siguiente.","Comida/Desayuno de Jonathan Harker"
"¿Qué deficiencias observa Jonathan Harker en la casa?","La principal deficiencia que Jonathan Harker observa es la ausencia de un espejo para usar para peinarse o afeitarse.","Deficiencia/Espiegel"
"Qué descubre Jonathan Harker en el cuarto?","Jonathan HARKER encuentra una biblioteca con libros y periódicos ingleses, que le proporcionan un placer.","Descubrimientos"
"Qué contenido ofrece la biblioteca de Jonathan Harker?","La biblioteca de Jonathan Harker está llena de libros y revistas en inglés sobre una amplia gama de temas, que le permiten aprender más sobre Inglaterra y las costumbres inglesas.","Biblioteca"
"¿Qué hace el Conde Drácula para ocupar su tiempo en el castillo?","El Conde Drácula pasa muchas horas leyendo y aprendiendo sobre Inglaterra y sus costumbres a través de sus libros, deseando caminar por las calles y vivir la vida allí.","Ocupación"
"Qué intención tiene el Conde Drácula al aprender el idioma inglés?","El Conde Drácula desea conseguir una fluidez en el idioma para pasar desapercibido entre los habitantes de Londres y no ser visto como un extranjero.","Motivación"
"¿Qué permisiones le otorga el Conde Drácula a Jonathan Harker dentro del castillo?","El Conde Drácula le permite a Jonathan Harker entrar y moverse por todas las partes del castillo, excepto en ciertas habitaciones cuyas puertas estaban cerradas con clave.","Permisos"
"Qué secreto mantiene el Conde Drácula sobre su pasado?","El Conde Drácula es evasivo cuando Jonathan Harker lo interroga sobre sus experiencias y evita responder acerca de algunos aspectos de su pasado.","Secreto"
"¿Qué se rumorea que hay escondidos en la región donde pasa Jonathan Harker?","Los habitantes de la región creen que está presente una cantidad grande de tesoros en ella debido a su larga historia de conflictos entre las diversas naciones que la han habitado.","Rumores sobre tesoros"
"¿Qué señales debe Jonathan Harker seguir para llegar al castillo del Conde Drácula?","Jonathan Harker sigue las llamas de fuego que aparecen solo en una noche para llegar a los lugares marcados con ellas, y no sabrá dónde buscar durante el día.","Signos para llegar"
"¿Qué considera el Conde Drácula sobre la naturaleza del campesino?","El Conde Drácula cree que el campesino es cobarde e imbécil y que ningún hombre de esta tierra se atrevería a espiar por su puerta en una noche, ni sabría qué hacer si lo intentaba.","Impresión sobre el campesino"
"¿Qué trabajo debe Jonathan Harker completar al regreso a Londres?","Al regresar a Londres, Jonathan Harker debe colocar los papeles en orden y explicarles los planos e hechos a Drácula.","Trabajo regreso Londres"
"¿Cómo reacciona el Conde Drácula a la información que Jonathan le proporciona?","El Conde Drácula se interesa en todas las cosas que Jonathan explica y le hace infinidad de preguntas.","Reacción a la información"
"¿Qué es la ubicación que el Conde Drácula ha elegido para establecerse en Londres?","El Conde Drácula compra una casa en Purfleet para establecerse en Londres.","Ubicación Londres"
"¿Cómo se comunica el Conde Drácula con Jonathan Harker sobre las posesiones y adquisiciones que deben hacer en Londres?","El Conde Drácula se comunicaba telegráficamente con Jonathan Harker para llevar a cabo la compra de la propiedad.","Comunicación compras"
"¿Qué descripción da Jonathan Harker de la propiedad que el Conde Drácula ha elegido en Londres?","La propiedad es una antigua casa llamada Carfax, rodeada por un muro de piedra con veinte acres, contiene muchos árboles y tiene un lago profundo.","Descripción propiedad"
"¿Qué descripción da Jonathan Harker de la casa que el Conde Drácula ha elegido como residencia en Londres?","La casa es una construcción vieja y grande con muros gruesos, pocas ventanas arriba y un amplio terreno.","Descripción casa"
"¿Qué sentimientos expresa el Conde Drácula sobre la vida y los días?","El Conde Drácula desea que sus huesos descansen entre los nobles ancestrales, ya no busca ni júbilo o regocijo como joven y prefiere la sombra y la oscuridad.","Sentimientos sobre vida"
"Cuáles son las localidades marcadas en el atlas?","Londres (lado este), Exeter y Whitby están marcados en el atlas.","Localizaciones marcadas"
"¿Qué sucede después del cenar?","El Conde Drácula sigue charlando y haciendo preguntas a Jonathan Harker hasta que escuchan el canto de un gallo para despedirse.","Después del cenar"
"Cuál es el estado del clima en esta etapa de la historia?","El día siguiente, Jonathan Harker continúa registrando su diario, pero está cansado y observa que hay poco que ver desde su ventana, solo calor y gris.","Clima"
"Qué cosas desea el Conde Drácula?","El conde desea que Jonathan Harker siga hablando y lo entretenga para no olvidarse de él y su nueva casa en Inglaterra.","Deseos del Conde"
"¿Qué sucede entre Jonathan Harker y el Conde Drácula?","Jonathan Harker se desmaya al ver que el Conde ha aparecido físicamente en el espejo detrás de él durante un momento.","Aparición del Conde"
"Qué sucede con el espejo?","El Conde Drácula jura ante el crucifijo que no volverá a usar el espejo para aparecer físicamente y lo destruye.","Espejo"
"De dónde tiene Jonathan Harker una vista magnífica?","Jonathan HARKER tiene una vista magnífica desde el cuarto en donde está alojado, que se encuentra a un largo precipicio y ofrece una hermosa perspectiva de verdes copas de árboles.","Belleza del paisaje"
"¿Qué es lo más notable del castillo que Jonathan Harker ha podido observar desde el cuarto en donde está?","El castillo cuenta con una impresionante perspectiva desde un cuarto donde alojan Jonathan Harker y sus compañeros, que permite contemplar una maravillosa vista de verdes copas de árboles y desfiladeros.","Observaciones"
"¿Qué siente Jonathan Harker al encontrarse atrapado?","Jonathan Harker se sentía impotente y casi loco ante la sensación de estar atrapado en el castillo, pero a pesar de ello encontró un poco de tranquilidad cuando lo aceptó como lo mejor que podía hacer.","Emociones/Impresiones"
"¿Qué plan tiene Jonathan Harker?","Jonathan Harker planea mantener sus conocimientos y sus miedos para sí mismo y mantenerse atento para salir adelante en presencia del Conde Drácula.","Plan"
"¿Qué revela el Conde Drácula acerca de su capacidad para controlar a los lobos?","El Conde Drácula puede controlar a los lobos mediante la simple acción de levantar la mano en silencio, lo que es una revelación perturbadora para Jonathan Harker.","Control sobre los lobos"
"¿Cómo se describe el Conde Drácula a sí mismo?","El conde Drácula se describe a sí mismo como parte integral de su casa y familia y habla en plural. Siente un orgullo profundo por ellos y considera que la gloria y el destino de él están ligados a la de su hogar.", "Autodescripción"
"¿Cómo describe el Conde Drácula su linaje?","El conde Drácula se orgullosa de su ascendencia héroica y la relaciona con los dioses nórdicos Thor y Wodin. Describe a sus ancestros como guerreros.", "Autodescripción/Lengendas"
"¿Qué personas se encuentran en el tren cuando llega a Budapest?","Se encuentra una variedad de pasajeros en el tren durante su viaje hacia Transilvania, incluyendo a la gente húngara y los magiares que Jonathan Harker había descrito.","Presencia en tren"
"¿Qué significado histórico tiene la figura del Conde Drácula?","La figura del Conde Drácula se refiere a Vlad III Țepeș o Vlad el Empalador, un soberano húngaro de Moldavia cuya táctica militar y estrategia de guerra inspiró orgullo a los húngaros y motivó la resistencia contra las invasiones turcas.","Historia/Legado"
"¿Qué papel jugó el Conde Drácula en la historia húngara?","El Conde Drácula es una figura legendaria en la historia húngara por sus éxitos militares y su rol en la resistencia contra las invasiones turcas. Su espíritu de guerra y estrategia inspiró a los húngaros para librarse del yugo de la monarquía hapsburgo y el Imperio ruso.","Historia/Literatura"
"¿En qué contexto se discute el papel del Conde Drácula durante sus conversaciones con Jonathan?","Las conversaciones entre el Conde Drácula y Jonathan Harker se centran principalmente en los asuntos legales para mantener ocupada a la mente de Jonathan mientras éste permanece como huésped del castillo.","Conversaciones"
"¿Qué temas se abordan durante las conversaciones entre Jonathan y el Conde Drácula?","Los temas que se abordan en las conversaciones entre el Conde Drácula y Jonathan Harker incluyen aspectos legales de su interés y preguntas sobre la posibilidad de un hombre tener varios procuradores.","Convenciones/Literatura"
"¿Qué razones da el Conde Drácula para no utilizar un procurador residente en Londres?","El Conde Drácula prefiere elegir a su agente desde la campiña porque puede confiar plenamente en él y no cree que sus intereses serían servidos por alguien local que podría tener sus propios propósitos o amigos a los que sirve.","Motivos/Comunicación"
"¿Cómo Jonathan Harker describe a su cliente?","Jonathan Harker describe al Conde Drácula como un hombre que tiene poderes extraordinarios para manipular asuntos, especialmente para evitar que sean conocidas las circunstancias completas de sus negocios.","Descripción"
"¿Qué le pide el Conde Drácula a Jonathan Harker sobre sus correspondencia?","El Conde Drácula le pide a Jonathan Harker que escriba cartas a sus amigos e intercambie correspondencia con ellos.","Instrucciones"
"¿Qué papelería y envío le pide el Conde Drácula a Jonathan Harker?","El Conde Drácula le pide a Jonathan Harker que escriba cartas a sus amigos utilizando las hojas de papel y envíos que le proporciona.","Papelería y Envío"
"¿Qué le asegura el Conde Drácula a Jonathan Harker?","El Conde Drácula le asure a Jonathan Harker que va a leer las cartas para garantizar que nada se escribe sobre temas inapropiados.","Aseguramientos"
"¿Qué le recomienda el Conde Drácula a Jonathan Harker?","El Conde Drácula le recomienda que se quede callado sobre los eventos del castillo.","Recomendaciones"
"¿Qué le suplica el Conde Drácula a Jonathan Harker?","El Conde Drácula le implora que se quede callado sobre las circunstancias del castillo.","Suplicaciones"
"¿Qué lugares atraviesa Jonathan Harker durante su viaje?","Jonathan HARKER viaja desde Budapest hasta Klausenburg.","Lugares"
"Describe la sensación general que tiene Jonathan al ver la extensión a una larga distancia.","Jonathan se siente un cierto sentimiento de libertad y espacio comparado con el patio interno y se asusta de la noche, pero también se siente prisionero.","Emociones"
"¿Qué aprecia Jonathan desde su habitación?","Jonathan admira el paisaje que lo rodea y ve algo que se mueve a un piso de abajo hacia la izquierda.","Vista/Apreciación"
"Identifica quien emergió de la ventana vista por Jonathan.","El que emergió desde la ventana fue el conde, ya que los detalles físicos de su cabeza y sus brazos son descritos.","Identificación"
"Qué detalles describe Jonathan al ver cómo el conde desciende por las paredes?","El conde utiliza sus dedos y sus pies para arrastrarse a través del espacio entre los escasos bordillos de piedra que salvan las paredes. Su apariencia, desnuda bajo su manto, y sus movimientos nocturnos son descritos en detalle.","Detalles/Observaciones"
"¿Cuál es el día en que Jonathan ve al conde por última vez?","El día 15 de mayo es cuando Jonathan ve por última vez al Conde Drácula.","Ultima aparición del Conde"
"Qué encontró Jonathan cuando buscaba una puerta para escapar?","Jonathan descubre una puerta al final de unas escaleras. Aunque parecía estar cerrada con llave, en realidad no lo estaba y podía ser usada para escapar.","Salida/Escape"
"Descubre Jonathan que había un ala del castillo aún por explorar, con ventanas viendo hacia el este y sur.","Jonathan descubre una nueva ala del castillo y la termina en una habitación iluminada desde las ventanas hacia el este y el sur.","Nuevas áreas"
"¿Qué lugares ve Jonathan Harker desde la ventana?","Desde la ventana de su habitación en el castillo, Jonathan Harker puede ver un valle y una cadena montañosa con hondonadas diamantinas.","Vista desde ventana"
"Cómo Jonathan Harker se siente acogido por el lugar?","Jonathan Harker se siente agradablemente acogido por la parte del castillo que ocupaba las damas y queda alegre de estar solo en sus cuartos, pese a que él siente una tenebrosa soledad que lo hunde.","Sentimientos"
"Cómo se describe la sensación de Jonathan Harker sobre su ubicación en el castillo?","Jonathan Harker se siente cómodamente acogido por el lado del castillo reservado para las damas, pero también experimenta una tranquilidad y sentimientos de confianza que le parecen pertenecientes al pasado.","Sensaciones"
"Qué pensamientos expresa Jonathan Harker en su diario?","Jonathan Harker escribe sobre la modernidad del siglo XIX, pero también se preocupa por sus nervios y su estado de ánimo.","Diario"
"Qué sentimiento describe Jonathan Harker sobre el conde Drácula?","Jonathan Harker siente una sensación de locura al pensar que el conde podría ser menos tenebroso para él que algunas otras cosas que habitan en el castillo, pero también se siente tranquilizado por la seguridad que puede encontrar solo sirviendo a sus deseos.","Sentimiento sobre conde"
"Qué pensamientos compartidos expresa Jonathan Harker en su diario?","Jonathan Harker reflexiona sobre los conceptos de modernidad y locura, y recuerda la famosa frase de Hamlet 'Mis libretas, pronto, mi libro'.",",Sensación"
"Qué acciones realiza Jonathan Harker para aliviarse de sus miedos?","Jonathan Harker se libera de los recuerdos del castillo y las advertencias del Conde Drácula escribiendo en su diario y obediendo la sensación de sueño que le provoca el lugar.","Alivio de miedos"
"Qué sensación describe Jonathan Harker sobre la libertad?","Jonathan Harker sentimiento una sensación de libertad al mirar el paisaje al este y al sur desde su cama, sin pensar en los espantos que habitan en las habitaciones del castillo.","Sensación"
"Qué pasa cuando Jonathan Harker se despertó?","Después de dormir, Jonathan Harker descubre a tres damas oscuras con grandes ojos negros en el cuarto. Las mujeres no dejan sombras y hablan entre ellas.","Despierta"
"Qué características físicas se notan sobre las damas?","Las damas tenían pelo oscuro y altas narices, como el Conde Drácula. Sus ojos negros casi parecían ser rojos contra la luz de la luna.","Apariencia"
"Qué sentimiento describe Jonathan Harker sobre las damas?","Jonathan Harker siente una mezcla de nostalgia y miedo al ver las damas oscuras con sus grandes ojos brillantes, labios rojos y dientes blancos. Él también tiene un deseo malévolo de que se las besen.","Sentimiento sobre damas"
"Qué sensación describe Jonathan Harker al besar a las tres hermanas?","La sensación que describe el personaje Jonathan Harker al besarlas es dulce pero con una nota amarga.","Beso/Expresión"
"Qué pasa cuando Jonathan Harker recibe el beso de las hermanas?","Jonathan Harker experimenta un éxtasis languidamente, pero al mismo tiempo se produce una sensación repulsiva.","Reacción/Emoción"
"Qué ocurre entre Jonathan Harker y el conde?","El conde expresa una fuerte ira contra las hermanas y se dirige hacia Jonathan Harker.","Confrontación/Emoción"
"Qué se pasa entre el conde y las hermanas?","El Conde se enfada y expulsó a la muchacha rubia del salón, pero luego promete darles el derecho de besarlo una vez que termine su negocio con él.","Interacción/Emoción"
"Qué ocurre con la bolsa misteriosa?","La bolsa misteriosa contiene lo que las mujeres desaparecen. No hay ninguna explicación sobre el contenido y el motivo de su desaparición.", "Misterios"
"¿Qué aparenta ser el resultado del sueño o la realidad?","El protagonista despertó en su casa y no recuerda claramente lo que le pasó, pero hay evidencias sutiles de que algo sucedió, tales como que sus vestimentas estaban dobladas.","Sueño/Realidad"
"¿Qué horrorasco encuentra Jonathan Harker al ver las mujeres en el castillo?","Jonathan HARKER encuentra que las mujeres del castillo son monstruosas y están esperando para chuparle la sangre.","Imágenes"
"Qué razón le da Jonathan Harker a las mujeres para que no ataquen?","Jonathan HARKER cree que el conde sabe que él sabe demasiado y lo está manteniendo vivo para su propio bien. También le da la posibilidad de escapar si algo ocurre que le permite hacerlo.","Razón"
"¿Qué tipo de oportunidad ofrece Jonathan Harker?","Jonathan HARKER ve que ha llegado una banda de cíngaros al castillo y ve una posibilidad para enviar una carta de ayuda.","Oportunidad"
"¿Qué cartas Jonatn Harker va a enviar?","Jonathan HARKER va a escribir tres cartas: una para su hermana Mina con la que no le revelará todos los horrores de lo que ha visto, otra para el Dr. Seward que le informa sobre las cartas, y una para el Sr. Hawkins indicándole que contacte con su hermana.","Cartas"
"¿Qué sucede cuando el conde descubre las cartas?","El conde descubre que ha recibido una de las cartas escritas por Jonathan Harker y la quema en ira. La otra, no firmada, resulta ser una carta de Mina, la hermana de Jonathan. El conde toma esta carta sin saber que su hermano la había enviado a la casa de Hawkins para que contactara con ella.","Descubre las cartas"
"¿Qué pasa cuando el conde descubre que Mina está escribiendo una carta?","El conde toma la carta de Mina y se queda impresionado por los extraños símbolos al abrirla. Le devuelve a Jonathan pero lo desafía a decir cómo consiguió el papel. El conde también le da permiso para que duerma en su cuarto seguro, hasta el momento en que termine con sus tareas.", "Descubre carta de Mina"
"Qué documentos han desaparecido de la habitación de Jonathan Harker?","Se han perdido todos los papeles y apuntes que habría necesitado para escribir durante su estadía en el castillo. Además, sus trajes, abrigo y manta también se han ido.","Borrados"
"Qué personas han llegado al castillo?","Dos grandes diligencias han llegado con acompañantes eslovacos. Las puertas están bloqueadas desde fuera.","Arrivo/Persona"
"Qué cosas han descargado los viajes?","Las grandes cajas cuadradas se descargaron del patio.","Descarga"
"Qué ropa ha usado el conde?","El Conde ha usado la ropa de Jonathan Harker para salir por la ventana.","Ropa/Conde"
"Qué ha visto Jonathan Harker a través de la ventana?","Jonathan Harker observa pequeñas manchas blancas flotando en el luna, como polvo. También escucha un lamento leve pero melancólico de perros.","Observación"
"¿Qué ha observado Jonathan Harker por la ventana?","Jonathan Harker ve partículas de polvo flotando en las luces de la luna. Se siente hipnotizado y comienza a ver las formas fantasmales de las mujeres fantasmales que se estaban materializando. Huí y se sentía un poco más seguro al regresar a su propio cuarto.","Observación/polvo"
"¿Qué suena el gemido que Jonathan Harker escucha en la noche?","El sonido del gemido debe ser el de una mujer o de alguien que está sufriendo.","Gemidos/Aullidos"
"¿Qué suenan los aullidos que Jonathan Harker oye en la noche?","Los aullidos parecen provenir de una manada de lobos.","Aullidos/Lobos"
"¿Qué creía Jonathan Harker sobre el Conde Drácula antes de que lo viera a la luz del día?","Jonathan Harker consideraba al conde como una amenaza antes de verlo por día.","Expectativas/Conde Drácula"
"¿Qué desafío se enfrenta Jonathan Harker en este punto de la novela?","Jonathan Harker arriesga su vida al intentar entrar por una ventana para llegar al cuarto del Conde Drácula.","Desafío/Riesgo"
"¿Cómo intenta Jonatham Harker entrar al cuarto del Conde Drácula?","Jonathan Harker arriesga su vida al intentar arrastrarse a través de una ventana para llegar al cuarto del Conde Drácula.","Entrando por la ventana"
"Qué descubre Jonathan Harker en el cuarto del Conde Drácula?","Jonathan Harker encuentra una sala vacía, decorada con artículos antiguos e inútiles, con una puerta pesada a través de la cual desemboca un pasaje secreto.","Descubrimientos en el cuarto"
"Qué descubre Jonathan Harker tras abrir la última puerta?","Jonathan Harker se encuentra en una vieja y arruinada capilla que ha sido utilizada como cementerio, con cajas de madera recién excavadas.","Descubre"
"¿Qué descubre Jonathan Harker en la capilla?","Jonathan Harker encuentra al Conde Drácula dormido o muerto en una caja de madera.","Descubre"
